head,tail,label
DB08533,P49862,0
DB01136,P08588,1
DB02705,P00749,1
DB01234,Q96S86,0
DB00513,P63098,0
DB07397,P22894,1
DB01023,Q01668,1
DB00217,Q86YB8,0
DB08601,P02741,0
DB01106,Q05932,0
DB06941,P04271,1
DB07458,P49448,0
DB07909,Q9BXI2,0
DB00946,P11712,1
DB07561,Q02127,1
DB00599,P31644,1
DB03711,Q8WX39,1
DB01355,P05177,1
DB03491,O43776,0
DB00458,P05177,1
DB09291,O15382,0
DB07779,P40926,0
DB01959,Q08499,1
DB01142,P25100,1
DB00635,Q9Y4U1,0
DB02457,Q15761,0
DB00668,P11712,1
DB00461,P23219,1
DB07584,P28838,0
DB04301,Q9GZT9,0
DB01961,P14927,0
DB00738,P05177,1
DB01717,Q9BXI2,0
DB06637,P32927,0
DB04434,Q92696,0
DB02552,Q9NQS7,0
DB00167,O15382,1
DB00275,P30556,1
DB01355,P23219,1
DB01236,P20813,1
DB08058,O43612,0
DB00454,P23975,1
DB05109,Q13838,0
DB04881,P08183,1
DB01342,Q96GW9,0
DB06589,P17948,1
DB01091,Q13627,0
DB00734,Q15800,0
DB03504,P60900,0
DB01028,P18507,1
DB00306,P48169,1
DB01023,Q01064,1
DB00748,P20813,1
DB07772,Q00987,0
DB01142,P08913,1
DB06287,P10635,1
DB03159,P00734,1
DB06849,P10515,0
DB01238,P35367,1
DB03294,P04083,0
DB05018,P06280,1
DB05864,P50579,1
DB00139,Q8IVL5,1
DB00459,P28702,1
DB00794,P20813,1
DB07377,P50579,1
DB04020,O75521,0
DB01694,Q9NP99,1
DB07007,P09874,0
DB00133,P00387,0
DB04369,P35030,1
DB07219,P07858,1
DB04934,P61278,0
DB01595,Q16445,1
DB00411,P08172,1
DB02220,O43837,0
DB01110,P05181,1
DB00334,P49747,0
DB07340,Q9NQS7,1
DB03317,P09012,0
DB02933,Q00169,0
DB01142,P28223,1
DB00157,P80365,1
DB01026,Q16850,1
DB03976,P07477,1
DB00346,P25100,1
DB01110,P20813,1
DB01032,Q13639,0
DB08901,P10721,1
DB01142,P18089,1
DB02272,P49821,0
DB06589,P05177,1
DB07893,P01834,1
DB04678,P05019,0
DB00909,Q9NY72,1
DB03223,Q9Y2D1,0
DB00142,Q6YP21,1
DB00215,P05181,1
DB01110,P05177,1
DB08909,P46926,0
DB00720,P35354,1
DB00392,P10606,0
DB08877,O60674,1
DB01224,P18825,1
DB04892,P42898,0
DB00157,P09417,1
DB01151,P20813,1
DB01835,Q9H4G4,0
DB00726,P35367,1
DB04888,P14416,1
DB07213,Q9HAW8,0
DB01354,P30038,0
DB00157,P08319,1
DB09014,Q9BVG9,0
DB01118,P11712,1
DB03040,P46059,0
DB00477,P21918,1
DB05095,P35354,1
DB00734,Q9H1K4,0
DB04722,Q9ULW8,0
DB01188,P05023,1
DB08056,P54317,0
DB01351,Q13002,1
DB06148,P21918,1
DB00312,P14867,1
DB00321,P34969,1
DB02498,P09874,1
DB00805,P28223,1
DB07731,P30084,0
DB03967,Q9NWZ3,0
DB03487,P48169,0
