head,tail,label
DB08533,P49862,0
DB01234,Q96S86,0
DB00228,P48169,1
DB00759,P11274,0
DB00268,P41231,0
DB00170,P05177,1
DB03948,P12268,1
DB01115,O95180,1
DB08936,P35367,1
DB07746,Q8NFA2,0
DB03104,Q9Y345,0
DB01186,P35462,1
DB04695,P22459,0
DB02621,P68133,1
DB03791,O43252,0
DB03882,Q13427,0
DB01355,P05177,1
DB04654,P49789,0
DB04151,Q6PI48,0
DB02822,O15264,0
DB00336,P47989,1
DB00171,P10398,1
DB06973,P30711,0
DB07313,P23921,0
DB02730,P19961,1
DB04841,P35367,1
DB00227,P33261,1
DB03152,Q13547,0
DB00157,P00325,1
DB01959,Q08499,1
DB04657,Q9Y697,0
DB06983,O94760,0
DB00206,P20815,1
DB00635,Q9Y4U1,0
DB07369,P11274,0
DB01011,P05181,1
DB01407,P01138,1
DB05234,Q96EN8,0
DB04643,P43405,0
DB00420,P35368,1
DB00468,P04798,1
DB01100,P33261,1
DB01022,Q9BYF1,0
DB00412,P37231,1
DB01236,P18847,0
DB04828,Q9Y5Y4,1
DB00786,Q9ULZ9,1
DB07833,Q16539,1
DB04338,P04150,0
DB00170,P00742,1
DB00607,P08684,1
DB00612,O95363,0
DB07778,Q9UDW1,1
DB04908,P28223,1
DB06896,P14854,0
DB06413,Q01959,1
DB01115,P05177,1
DB00408,P25021,1
DB00201,P24462,1
DB08429,Q15067,0
DB08479,P0CG04,0
DB01107,P35626,0
DB08156,P14679,0
DB05255,P14625,0
DB02633,Q9H239,0
DB08019,Q6IA69,0
DB01248,P10415,1
DB04794,P33261,1
DB00459,P28702,1
DB00927,P33261,1
DB07027,Q92830,0
DB00675,P33261,1
DB00381,P17405,1
DB04636,P35498,0
DB02288,Q9H2S1,0
DB00745,P35368,1
DB00945,P33261,1
DB07981,P20645,0
DB09073,Q9NPA1,0
DB00584,Q04771,0
DB00540,Q99720,1
DB00292,Q9UN88,1
DB03615,P32418,0
DB05713,P45381,0
DB00736,P31040,0
DB00602,P28472,1
DB04790,P51800,0
DB01567,O14764,1
