head,tail,label
DB08533,P49862,0
DB00755,P48443,1
DB01234,Q96S86,0
DB00228,P48169,1
DB01023,Q01668,1
DB00170,P05177,1
DB03948,P12268,1
DB04525,P09211,0
DB08516,P49789,0
DB01115,O95180,1
DB08677,Q9NWZ5,0
DB03104,Q9Y345,0
DB01186,P35462,1
DB06926,Q6WRI0,0
DB03711,Q8WX39,1
DB01355,P05177,1
DB00608,P30273,0
DB04151,Q6PI48,0
DB00458,P05177,1
DB00336,P47989,1
DB07313,P23921,0
DB04841,P35367,1
DB00227,P33261,1
DB00157,P00325,1
DB01959,Q08499,1
DB06983,O94760,0
DB00149,P54687,1
DB00635,Q9Y4U1,0
DB01011,P05181,1
DB05234,Q96EN8,0
DB06212,Q96GA7,0
DB08285,P20248,1
DB01961,P14927,0
DB01100,P33261,1
DB01022,Q9BYF1,0
DB01717,Q9BXI2,0
DB01236,P18847,0
DB01238,P24462,1
DB04434,Q92696,0
DB00786,Q9ULZ9,1
DB02552,Q9NQS7,0
DB01861,P43681,0
DB01355,P23219,1
DB05171,Q9NZ42,1
DB00170,P00742,1
DB06979,Q9UJM8,1
DB00454,P23975,1
DB00607,P08684,1
DB04908,P28223,1
DB01620,P60900,0
DB06413,Q01959,1
DB08167,P22303,1
DB01115,P05177,1
DB00734,Q15800,0
DB04094,P62942,1
DB00201,P24462,1
DB09143,Q99835,1
DB01023,Q01064,1
DB08429,Q15067,0
DB01142,P08913,1
DB01170,P08684,1
DB03159,P00734,1
DB01238,P35367,1
DB05255,P14625,0
DB07677,O60547,0
DB05018,P06280,1
DB05864,P50579,1
DB01248,P10415,1
DB04794,P33261,1
DB00459,P28702,1
DB07027,Q92830,0
DB00675,P33261,1
DB04020,O75521,0
DB00381,P17405,1
DB04636,P35498,0
DB00745,P35368,1
DB09073,Q9NPA1,0
DB00540,Q99720,1
DB02112,Q9ULZ9,0
DB00292,Q9UN88,1
DB00411,P08172,1
DB02220,O43837,0
DB08387,Q92696,0
DB07441,P05113,0
DB01411,P08684,1
DB01821,O95180,0
DB00522,Q96KS0,0
DB02610,P00918,1
DB06016,P08684,1
DB00521,O00187,0
DB01392,P08684,1
DB03317,P09012,0
DB00661,O00305,1
DB07117,P14780,1
DB01142,P28223,1
DB02482,Q04759,1
DB01026,Q16850,1
DB03976,P07477,1
DB01032,Q13639,0
DB08901,P10721,1
DB07696,Q9ULX7,0
DB04967,Q05586,0
DB00307,P19793,1
DB02272,P49821,0
DB06589,P05177,1
DB03176,P62829,0
DB07893,P01834,1
DB04678,P05019,0
DB03223,Q9Y2D1,0
DB00263,P24298,0
DB00503,P24462,1
DB01609,P20248,0
DB08909,P46926,0
DB01695,P10915,0
DB06920,P39900,0
DB05399,P23919,0
DB00624,Q9HB55,1
DB02084,Q9HB55,0
DB03633,P04054,1
DB04892,P42898,0
DB00157,P09417,1
DB00091,P49069,1
DB03645,P62829,0
DB01105,P23975,1
DB00242,P27707,1
DB01835,Q9H4G4,0
DB00726,P35367,1
DB07643,Q96C86,1
DB01190,P08684,1
DB07135,P27487,1
DB00157,P08319,1
DB07453,P28476,0
DB00901,P07550,1
DB08555,Q15125,0
DB00734,Q9H1K4,0
DB03024,P61160,0
DB00944,Q96SL4,0
DB07181,P27487,1
DB08056,P54317,0
DB06148,P21918,1
DB00312,P14867,1
DB00281,Q14524,1
DB00805,P28223,1
DB03967,Q9NWZ3,0
DB04917,Q13639,1
DB03487,P48169,0
DB01213,P04040,1
DB00451,O75936,0
DB00202,Q9GZZ6,1
DB01962,P12931,1
DB07351,Q15382,0
DB04566,P11230,0
DB07887,P03951,1
DB04871,P08684,1
DB00201,P54750,1
DB03046,P37288,0
DB09143,Q9BZZ2,0
DB03155,P18405,0
DB01352,Q99418,0
DB00956,Q9Y678,0
DB04871,P54687,0
DB00615,P17302,0
DB08228,Q9Y6M4,0
DB00804,Q9NTG7,0
DB00250,P23219,1
DB01427,Q14432,1
DB00786,Q9NPA2,1
DB08620,Q494W8,1
DB07563,P23415,0
DB04618,P04746,1
DB00218,Q969I3,0
DB00819,Q8WX39,0
DB00514,Q99720,1
DB00273,Q16445,1
DB00586,P05181,1
DB06958,P35398,0
DB07013,P31513,0
DB03468,P30049,0
DB08156,P00918,1
DB01224,P21918,1
DB05104,P01008,0
DB08006,P08912,0
DB00780,P24462,1
DB00533,P10632,1
DB06413,P08684,1
DB08197,P54289,0
DB01016,P08684,1
DB04861,P06401,0
DB06147,P84098,0
DB08009,Q9UKU7,0
DB08690,O14957,1
DB08740,O43193,0
DB03566,P09467,0
DB05232,P35498,1
DB00357,P05177,1
DB01689,P22413,0
DB02720,P11217,1
DB00607,P05177,1
DB08119,P10145,0
DB00376,P20309,1
DB08186,O75715,0
DB04232,P08254,1
DB00718,P14324,0
DB00736,P10153,0
DB01364,Q05940,1
DB02271,P24298,0
DB00583,P05164,1
DB02547,Q7Z4W1,0
DB03218,P24941,0
DB08184,P47898,0
DB01353,P31644,1
DB00656,P24462,1
DB07845,Q9Y6Y9,0
DB07642,Q96C86,1
DB03772,P09958,0
DB02652,Q15303,0
DB00697,Q8NFW8,0
DB00171,P35626,1
DB08462,P12931,1
DB01226,P08172,1
DB00514,P08684,1
DB03487,P61626,1
DB01966,P30411,0
DB00425,P08684,1
DB08807,P13945,1
DB02032,Q02218,0
DB00408,P08912,1
DB00608,P35557,0
DB01189,O14757,0
DB00308,P54289,1
DB07716,O00519,0
DB07034,O14757,1
DB03951,P46926,1
DB07453,P43026,0
DB07423,P10275,1
DB00654,Q969I3,0
DB08426,P00742,1
DB04315,O60547,1
DB00182,O95954,0
DB00157,Q02928,1
DB01536,P14060,1
DB07093,Q9HAN9,0
DB01220,P08684,1
DB08531,Q6UWP2,0
DB04563,Q9H169,0
DB00559,P08684,1
DB02767,Q9Y6Y9,1
DB00695,P62136,0
DB07193,P27487,1
DB00726,P08913,1
DB00149,O15382,1
DB00131,Q07343,1
DB08141,P24941,1
DB03621,P62942,1
DB02845,P06276,1
DB01071,P07101,0
DB00829,P30536,1
DB03664,P30085,1
DB07136,P08263,0
DB00514,P41145,1
DB07317,P07900,1
DB08149,P19105,0
DB01193,P15382,0
DB00540,P14416,1
DB06274,Q9UJT0,0
DB00405,P35367,1
DB00763,P24298,0
DB08901,P12931,1
DB04774,P23416,0
DB00308,Q9NS40,1
DB00312,Q13224,1
DB06764,P51160,0
DB08590,Q9NWZ3,1
DB00157,P15428,1
DB00250,P25705,0
DB00163,P78417,1
DB01717,Q9H2M3,0
DB02568,P00491,1
DB03052,P14920,0
DB04527,O00187,1
DB00934,P05177,1
DB02087,P19320,0
DB07393,Q04828,0
DB06262,P17735,0
DB00268,P08913,1
DB05297,Q8NFJ5,0
DB08482,Q4U2R8,0
DB00334,P35462,1
DB02659,P62508,1
DB06204,P23975,1
DB02646,P55769,0
DB04835,Q9Y6L7,0
DB07387,O60391,0
DB00841,P21964,1
DB00389,P07202,1
DB03606,Q07343,1
DB01002,P05177,1
DB04447,Q96QT4,1
DB01586,Q9ULX7,0
DB02375,Q14494,0
DB05482,P10600,0
DB02468,P43115,0
DB09082,Q96I15,0
DB01525,P06276,1
DB00162,Q8TC12,1
DB00125,Q96A70,1
DB01717,Q96MA6,1
DB06944,Q9BVG9,0
DB03708,P11586,0
DB00647,P41143,1
DB03565,P05093,0
DB03622,Q9UBS5,0
DB00767,P08173,1
DB08125,P06396,0
DB00920,P27815,1
DB00978,P11388,1
DB01213,P07327,1
DB07922,P39900,1
DB03125,P00374,1
DB04920,P33261,1
DB00114,P20132,1
DB00382,P27487,0
DB01224,P08684,1
DB02512,Q08345,0
DB00691,P49591,0
DB01200,P05177,1
DB07929,Q13133,1
DB06871,P48544,0
DB06288,P08253,0
DB00611,P41145,1
DB08901,P10632,1
DB07612,Q9P0X4,0
DB07093,Q9UGM1,0
DB01871,P25786,0
DB02602,O95342,0
DB01579,Q14289,0
DB07054,P24941,1
DB03039,P00918,1
DB07494,O76074,0
DB00902,P68104,0
DB06274,P41143,1
DB04825,O15511,0
DB00616,P12821,1
DB01946,Q9UL54,0
DB07736,Q07973,0
DB07697,Q99519,0
DB07219,O75936,0
DB00252,P10632,1
DB07013,Q9UQL6,0
DB00175,O95865,0
DB00540,P33261,1
DB00266,P15559,1
DB00503,P05181,1
DB00425,Q96I99,0
DB01565,Q5JVS0,0
DB06016,P28223,1
DB07032,P00709,0
DB03760,P23434,1
DB02553,P00390,1
DB01365,P13945,1
DB09217,Q02156,0
DB00898,Q8WXA8,1
DB00132,P08243,0
DB05790,P25103,1
DB00999,P55017,1
DB00191,P31645,1
DB07131,P15509,0
DB01972,P31939,1
DB06987,Q92993,0
DB07324,Q96GD4,0
DB00451,P10632,1
DB01833,P28845,0
DB08063,P20248,0
DB04003,Q9NS40,0
DB00170,Q9NSA0,0
DB00295,P54855,1
DB03056,O43920,0
DB00216,Q9P2J5,0
DB06480,Q13639,1
DB00777,P35367,1
DB00189,P49862,0
DB02210,Q9UG56,0
DB00786,P08254,1
DB00570,Q9UJT1,1
DB00980,P33261,1
DB00201,P16499,1
DB00552,P00813,1
DB00175,P53667,0
DB03667,P23219,1
DB00661,P33261,1
DB01248,P10636,1
DB00382,P05177,1
DB06868,P00734,1
DB01588,P14867,1
DB01108,P14060,1
DB08197,P07900,1
DB06144,P04062,0
DB00114,Q96EN8,1
DB00659,Q16445,1
DB01964,Q8IWL2,0
DB02462,P35228,1
DB08691,Q8NFJ5,0
DB00715,P08172,1
DB00445,P11388,1
DB01190,P10915,0
DB00767,P08912,1
DB00675,Q05655,1
DB04315,P63096,1
DB01352,P47869,1
DB00116,P48728,1
DB00683,O00591,1
DB01992,Q92831,1
DB03587,P04054,1
DB00653,Q08289,1
DB08262,P27707,0
DB08024,P42336,0
DB00366,Q08499,0
DB00906,O75715,0
DB01045,Q9HB55,1
DB01612,P02741,0
DB00157,Q16798,1
DB01200,P21728,1
DB00802,Q07021,0
DB00321,P05177,1
DB00918,P10632,1
DB08051,P27487,1
DB00138,Q13003,0
DB07700,P28332,0
DB00131,P55263,1
DB07205,O14842,0
DB04600,P00742,0
DB00295,P07384,0
DB07733,P04062,0
DB08555,P53779,1
DB00640,P00813,1
DB01233,Q13639,1
DB07881,O14939,0
DB00472,P31645,1
DB06987,P02788,1
DB05266,Q08499,1
DB00989,P06276,1
DB07574,Q9BVA1,1
DB05812,P84077,0
DB00463,P14867,1
DB00292,P15538,1
DB02878,P35568,0
DB00622,P54289,1
DB07932,P20648,0
DB06969,P07900,1
DB02506,Q14541,0
DB00822,Q8NFJ5,0
DB00651,Q08499,1
DB07006,P11177,0
DB01129,P33261,1
DB01102,P13945,1
DB03485,P06731,0
DB07149,Q16134,0
DB00202,P16083,0
DB01609,P17931,0
DB07710,P30419,0
DB04489,O75976,1
DB00404,P31644,1
DB03796,P02689,1
DB02745,Q9BZX2,0
DB09202,P35368,1
DB01071,P15170,0
DB00293,P29508,0
DB07265,P15502,0
DB04473,P49789,0
DB01050,P06133,1
DB00399,P14324,1
DB04889,P27338,1
DB00540,P28223,1
DB07251,Q9UHQ9,0
DB07209,Q6UWP2,0
DB01115,Q08289,1
DB00196,P08684,1
DB07448,P28476,0
DB07150,Q92731,1
DB01023,P08684,1
DB03697,P00918,1
DB03183,P00973,0
DB07202,P18405,0
DB01010,P40238,0
DB04054,P48775,0
DB07537,P52758,0
DB08806,P29317,0
DB00514,Q15822,1
DB00404,Q9UN88,1
DB00744,P08684,1
DB01105,P31645,1
DB05786,O14842,0
DB00522,P05981,1
DB02164,Q9UJM8,1
DB03147,P22570,1
DB04835,P08684,1
DB00459,Q96GD4,0
DB08733,Q9UKQ2,1
DB01224,P08913,1
DB02363,P51570,0
DB07965,P04062,0
DB03929,P23415,1
DB01852,Q6NUS8,1
DB00647,P09668,0
DB00241,P48169,1
DB00726,P08684,1
DB02310,Q12797,0
DB06216,P05177,1
DB08912,P01133,0
DB08411,Q9BTZ2,0
DB04715,Q9Y2Q0,0
DB08537,P18440,0
DB01620,Q96GD4,0
DB07905,P01133,0
DB04946,P28223,1
DB01135,P08172,1
DB00383,P20309,1
DB00171,P33121,1
DB08392,Q9Y5Y4,0
DB04977,P05181,1
DB03945,P02741,1
DB06986,P11217,1
DB00188,O14818,1
DB00408,P35368,1
DB07143,Q96AE4,0
DB01992,P24941,0
DB01586,P53597,0
DB00468,P05181,1
DB03106,P04062,1
DB01440,Q9HAB3,1
DB01940,P13995,0
DB04614,P22303,1
DB01009,P10632,1
DB00130,Q06203,1
DB01018,P08684,1
DB00565,Q15822,1
DB00228,P14867,1
DB00964,P08913,1
DB06987,Q9Y6K9,0
DB04854,P35462,0
DB00563,Q7L5Y9,0
DB00136,P08684,1
DB00412,O14561,0
DB01418,P08684,1
DB04774,P29274,0
DB02767,O43741,0
DB00120,Q9UHI5,1
DB07100,Q96DP5,0
DB04563,P07477,1
DB03056,Q92806,0
DB04166,P14920,1
DB01353,Q16445,1
DB00327,O60656,1
DB04464,P04271,1
DB06292,P08684,1
DB08005,P53779,1
DB07318,P35228,1
DB00718,P05305,0
DB00728,Q15822,1
DB01365,Q03393,0
DB03899,P07900,1
DB03726,Q8NEB9,0
DB07134,P54819,0
DB00163,P05771,1
DB02007,P19367,1
DB02535,Q9Y259,0
DB03021,Q99519,0
DB08043,P31639,0
DB03772,O95865,0
DB07422,P18085,0
DB00899,P41145,1
DB00234,P23975,1
DB00334,P08913,1
DB00675,Q92731,1
DB01007,Q16850,1
DB03159,P03372,0
DB07168,Q13554,1
DB03742,P19883,0
DB01131,P00374,1
DB07246,Q92731,0
DB03509,P37288,0
DB01352,Q16445,1
DB01630,P62750,0
DB00768,Q00534,0
DB00363,P20309,1
DB00425,P24462,1
DB00726,P35368,1
DB00674,Q15822,1
DB04894,P35346,1
DB00228,P47869,1
DB00114,P11217,1
DB00120,P17735,1
DB02472,P00813,1
DB06699,Q92820,0
DB00746,Q9H1K4,0
DB03195,P43005,0
DB03213,Q9UJT1,0
DB08361,P33121,0
DB00242,P07359,0
DB02315,Q9UL51,1
DB06820,Q92696,0
DB04720,Q04759,0
DB07802,P17516,0
DB00418,Q12879,1
DB08480,P60900,0
DB08660,P21728,0
DB00794,P47869,1
DB08429,P27487,1
DB01093,P29371,0
DB08818,Q96S86,1
DB02589,P07900,0
DB08699,P31153,0
DB00234,P48549,0
DB01863,Q9H4M7,1
DB00276,O95954,0
DB03251,P05091,0
DB01012,Q02338,0
DB04790,P07477,1
DB05824,O75911,0
DB07974,O00591,0
DB00540,P23975,1
DB01558,P47869,1
DB00642,P00374,1
DB06741,Q12879,1
DB03552,Q9H853,0
DB00321,P23975,1
DB00393,O00305,1
DB06892,Q99712,0
DB01026,P24462,1
DB00248,P07550,1
DB00897,P28476,1
DB04446,Q07699,0
DB02602,Q05329,0
DB03606,P48549,0
DB07932,P03372,1
DB03380,P01303,1
DB04847,Q96KS0,1
DB00463,Q16445,1
DB00129,Q9Y619,1
DB01200,P35462,1
DB08187,P00734,1
DB05442,Q701N4,0
DB03882,Q9UJM8,0
DB00161,P13584,0
DB07089,P56817,1
DB06837,P10644,0
DB06993,P27487,1
DB00598,P16070,0
DB08354,O00142,0
DB05442,Q86SZ2,0
DB00129,P51151,0
DB00721,Q15822,1
DB04837,P35367,1
DB01234,Q02928,1
DB03132,P02741,0
DB01079,P05181,1
DB00866,Q14494,0
DB04522,P29508,1
DB00199,O43193,1
DB00138,P82251,1
DB07533,Q9H2M3,0
DB00284,O00142,0
DB01567,P47870,1
DB00661,Q00975,1
DB03133,Q9NYX4,0
DB00988,P21918,1
DB00975,P27815,1
DB00157,P07327,1
DB01252,P16662,1
DB00401,P24462,1
DB01011,P08684,1
DB03944,P63316,1
DB01032,P10632,1
DB00644,Q16134,0
DB03449,P00519,0
DB02512,Q96S86,0
DB04505,Q13363,0
DB00929,P03886,0
DB01273,Q14032,0
DB01821,P35408,0
DB01232,P10632,1
DB08912,P15056,1
DB04003,Q32P28,0
DB00565,P23415,0
DB00312,P47869,1
DB02504,Q5JVS0,0
DB03222,P78334,0
DB03176,Q9NYQ3,0
DB01303,Q92769,1
DB04977,Q02928,1
DB07462,P17516,0
DB07335,P53609,0
DB06853,P60900,0
DB00275,P49591,0
DB08054,P06276,0
DB03273,P23526,1
DB08733,Q08881,0
DB03749,Q9UP95,0
DB08891,P78352,0
DB01717,P35914,0
DB02638,P19440,0
DB01227,P08684,1
DB08277,P28845,1
DB08790,Q05586,0
DB02840,P07900,1
DB08465,P49286,0
DB07119,Q92731,1
DB02259,P21964,0
DB08546,P41235,0
DB07157,P23975,0
DB00744,O60656,1
DB07279,P49327,0
DB00514,P06396,0
DB00741,P23560,0
DB02998,Q96C36,0
DB00228,P05181,1
DB00753,P47870,1
DB01134,P08235,1
DB01406,P08684,1
DB04522,P08100,1
DB03309,O00204,1
DB00413,Q96RQ3,0
DB05408,P29466,1
DB01087,P05177,1
DB03311,P25815,0
DB00292,P47869,1
DB06706,P05089,0
DB02758,Q9NZK7,1
DB00458,Q9NZV8,1
DB00104,P29323,0
DB02258,P54289,0
DB00745,P01764,0
