head,tail,label
DB00361,O60218,0
DB01136,P08588,1
DB06963,Q9Y691,0
DB02705,P00749,1
DB01221,P41595,1
DB07397,P22894,1
DB00217,Q86YB8,0
DB02784,P06744,0
DB00389,P11511,1
DB01106,Q05932,0
DB07909,Q9BXI2,0
DB00321,Q09470,1
DB02621,P68133,1
DB08527,P28062,0
DB07982,P46459,0
DB02822,O15264,0
DB09291,O15382,0
DB00368,P18825,1
DB06144,P50406,1
DB07779,P40926,0
DB04763,Q13509,0
DB02987,Q12809,0
DB01142,P25100,1
DB02457,Q15761,0
DB00543,P25100,1
DB00461,P23219,1
DB01223,P0DMS8,1
DB07584,P28838,0
DB01407,P01138,1
DB07677,O60895,0
DB01961,P14927,0
DB03962,P52209,1
DB04194,P06858,0
DB01483,P42262,1
DB00863,P25021,1
DB07833,Q16539,1
DB02552,Q9NQS7,0
DB00167,O15382,1
DB04338,P04150,0
DB00275,P30556,1
DB06637,Q92953,1
DB00368,O43614,0
DB07589,P00441,0
DB07217,P62491,0
DB08058,O43612,0
DB04311,P07477,1
DB01382,P00156,0
DB00759,Q9HB40,0
DB01184,P15538,0
DB05109,Q13838,0
DB04881,P08183,1
DB01342,Q96GW9,0
DB06589,P17948,1
DB01091,Q13627,0
DB05087,P14867,1
DB04253,O43708,0
DB03504,P60900,0
DB00434,P28335,1
DB00297,P13726,0
DB01028,P18507,1
DB01023,Q01064,1
DB02098,P07998,1
DB01142,P08913,1
DB06287,P10635,1
DB07522,P00734,1
DB06849,P10515,0
DB00553,Q9NR97,0
DB06077,Q9H598,0
DB00794,P20813,1
DB07377,P50579,1
DB03661,P18031,1
DB04701,Q86VB7,0
DB07981,P20645,0
DB00584,Q04771,0
DB04752,Q92569,0
DB00133,P00387,0
DB03899,P33527,0
DB07219,P07858,1
DB04934,P61278,0
DB01595,Q16445,1
DB03541,P16083,1
DB05253,Q14914,0
DB00334,P49747,0
DB04602,O43526,0
DB00151,P35520,1
DB01618,P11229,1
DB07264,Q8TE23,0
DB06795,P02792,0
DB05252,P13612,0
DB07340,Q9NQS7,1
DB07873,P15954,0
DB00346,P25100,1
DB03015,P51648,0
DB01110,P20813,1
DB07397,P06730,0
DB03276,P62993,1
DB00591,Q13564,0
DB01142,P18089,1
DB03444,O95263,0
DB02272,P49821,0
DB07893,P01834,1
DB00909,Q9NY72,1
DB04892,P42898,0
DB04325,P07477,1
DB01151,P20813,1
DB03896,P10398,0
DB07213,Q9HAW8,0
DB01354,P30038,0
DB01142,Q9H3N8,1
DB01118,P11712,1
DB03040,P46059,0
DB00477,P21918,1
DB05095,P35354,1
DB00734,Q9H1K4,0
DB04722,Q9ULW8,0
DB00159,P35354,1
DB05470,Q16696,0
DB02325,P30041,1
DB08056,P54317,0
DB04657,Q8TDV5,0
DB00321,P34969,1
DB04021,Q7L3T8,0
DB03967,Q9NWZ3,0
DB07344,Q8IVS2,1
DB00604,P20813,1
DB05511,P00797,0
DB00145,Q6IB77,1
DB01091,Q9NP56,0
DB00797,P18089,1
DB07530,P20594,0
DB06929,P00734,1
DB01244,P10635,1
DB08148,P18507,0
DB01710,P02792,0
DB01204,Q9UBM7,0
DB02643,Q9Y666,0
DB07735,P56817,1
DB08899,P10635,1
DB03594,P19652,0
DB00477,P35348,1
DB01050,P07204,1
DB02342,P04798,1
DB01154,Q15842,1
DB00218,Q969I3,0
DB00904,P11712,1
DB00373,P07550,1
DB00849,P14867,1
DB08783,Q14749,0
DB00277,O76074,1
DB09065,P10635,1
DB00496,Q9H239,0
DB04855,P35348,1
DB07156,P08069,1
DB02822,P07360,0
DB04258,P00533,0
DB01215,P22748,0
DB08168,Q9BY41,1
DB08352,P09104,0
DB01689,P22413,0
DB08334,P40306,0
DB00376,P20309,1
DB00172,Q8TF76,0
DB00549,P10635,1
DB01752,O14717,1
DB07225,P07858,1
DB08130,P07478,0
DB00669,P28222,1
DB01892,P42263,0
DB06858,P00734,1
DB01216,P18507,0
DB03083,P63208,0
DB00937,P30559,0
DB01068,O00591,1
DB07618,Q9GZT9,0
DB01118,P09211,0
DB01174,Q12879,1
DB01244,P51787,1
DB04315,P36405,1
DB00313,P23219,1
DB04009,P36871,0
DB03483,P18031,1
DB08201,Q96RD7,0
DB04395,Q12756,1
DB07315,P06737,1
DB07942,Q13426,0
DB00842,P18505,1
DB08800,O14920,0
DB01399,O60669,0
DB00135,O60909,0
DB08152,P49888,0
DB07849,P14550,0
DB03086,Q5XXA6,0
DB08409,Q9NSA0,0
DB01189,O14757,0
DB07641,P21397,1
DB03951,P46926,1
DB00852,P08913,1
DB01624,P08913,1
DB03981,Q6NUM9,0
DB00968,P22413,0
DB08531,Q6UWP2,0
DB00553,P04798,1
DB07321,Q9Y6F1,0
DB03757,Q9UNI1,1
DB04954,P30542,1
DB01812,Q9Y663,1
DB00695,P62136,0
DB07954,O60658,1
DB01409,P11229,1
DB00723,P11233,0
DB00726,P08913,1
DB00149,O15382,1
DB03621,P62942,1
DB00140,Q9GZT4,0
DB01953,P00751,0
DB04178,P61587,0
DB03065,P03915,0
